mechanism,init_x,init_x_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,mean_reward
clean_a2c_snapshot,0.0,0.0,0.15,0.0,120,0,,-0.0795547407815118
clean_a2c_snapshot,0.0,0.0,0.15,0.5,120,0,,-0.25522971670622735
clean_a2c_snapshot,0.0,0.0,0.15,0.75,120,0,,-0.3952787015430356
clean_a2c_snapshot,0.0,0.0,0.15,1.0,120,0,,-0.5893735386385853
poisoned_action_only_snapshot,0.0,0.0,-0.15,-1.0,120,20,5,-1.6657566502566603
poisoned_action_only_snapshot,0.0,0.0,-0.15,-0.75,120,14,10,-1.459111910037022
poisoned_action_only_snapshot,0.0,0.0,-0.15,-0.5,120,11,11,-1.312762609212092
poisoned_action_only_snapshot,0.0,0.0,-0.15,0.0,120,0,,-1.131198368525125
poisoned_action_only_snapshot,0.0,0.0,-0.15,0.5,120,0,,-1.0423779520680851
poisoned_action_only_snapshot,0.0,0.0,-0.15,0.75,120,0,,-1.0365752298538484
poisoned_action_only_snapshot,0.0,0.0,-0.15,1.0,120,0,,-1.0568604089992846
poisoned_action_only_snapshot,0.0,0.0,-0.1,-1.0,120,15,10,-1.4967146303448176
poisoned_action_only_snapshot,0.0,0.0,-0.1,-0.75,120,12,10,-1.3424084732345363
poisoned_action_only_snapshot,0.0,0.0,-0.1,-0.5,120,8,11,-1.2296509634200947
poisoned_action_only_snapshot,0.0,0.0,-0.1,0.0,120,0,,-1.0905566664641846
poisoned_action_only_snapshot,0.0,0.0,-0.1,0.5,120,0,,-1.0412531050976854
poisoned_action_only_snapshot,0.0,0.0,-0.1,0.75,120,0,,-1.0556355993362243
poisoned_action_only_snapshot,0.0,0.0,-0.1,1.0,120,0,,-1.0957049610467002
poisoned_action_only_snapshot,0.0,0.0,-0.05,-1.0,120,13,10,-1.3713884602109883
poisoned_action_only_snapshot,0.0,0.0,-0.05,-0.75,120,10,10,-1.253148035438087
poisoned_action_only_snapshot,0.0,0.0,-0.05,-0.5,120,2,13,-1.1685036816313028
poisoned_action_only_snapshot,0.0,0.0,-0.05,0.0,120,0,,-1.0656854499333377
poisoned_action_only_snapshot,0.0,0.0,-0.05,0.5,120,0,,-1.057046996609115
poisoned_action_only_snapshot,0.0,0.0,-0.05,0.75,120,0,,-1.0913431566566572
poisoned_action_only_snapshot,0.0,0.0,-0.05,1.0,120,0,,-1.151103363456726
poisoned_action_only_snapshot,0.0,0.0,0.05,-1.0,120,9,9,-1.2191597922535706
poisoned_action_only_snapshot,0.0,0.0,0.05,-0.75,120,2,12,-1.147787513136716
poisoned_action_only_snapshot,0.0,0.0,0.05,-0.5,120,0,,-1.0990183416150618
poisoned_action_only_snapshot,0.0,0.0,0.05,0.0,120,0,,-1.0673128503555456
poisoned_action_only_snapshot,0.0,0.0,0.05,0.5,120,0,,-1.139330033139315
poisoned_action_only_snapshot,0.0,0.0,0.05,0.75,120,0,,-1.213906836858771
poisoned_action_only_snapshot,0.0,0.0,0.05,1.0,120,0,,-1.314012139520038
poisoned_action_only_snapshot,0.0,0.0,0.1,-1.0,120,7,9,-1.1701410477789433
poisoned_action_only_snapshot,0.0,0.0,0.1,-0.75,120,0,,-1.1197103900614116
poisoned_action_only_snapshot,0.0,0.0,0.1,-0.5,120,0,,-1.0847262850009876
poisoned_action_only_snapshot,0.0,0.0,0.1,0.0,120,0,,-1.093563184236235
poisoned_action_only_snapshot,0.0,0.0,0.1,0.5,120,0,,-1.2068564767946977
poisoned_action_only_snapshot,0.0,0.0,0.1,0.75,120,0,,-1.3024381086829622
poisoned_action_only_snapshot,0.0,0.0,0.1,1.0,120,0,,-1.426934522558634
poisoned_action_only_snapshot,0.0,0.0,0.15,-1.0,120,5,9,-1.1433300593280487
poisoned_action_only_snapshot,0.0,0.0,0.15,-0.75,120,0,,-1.1019230368210473
poisoned_action_only_snapshot,0.0,0.0,0.15,-0.5,120,0,,-1.0871578614160242
poisoned_action_only_snapshot,0.0,0.0,0.15,0.0,120,0,,-1.1373262871140644
poisoned_action_only_snapshot,0.0,0.0,0.15,0.5,120,0,,-1.293411934157047
poisoned_action_only_snapshot,0.0,0.0,0.15,0.75,120,0,,-1.4110265339101749
poisoned_action_only_snapshot,0.0,0.0,0.15,1.0,120,0,,-1.5761983215810331
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,-1.0,120,0,,-0.580621654876358
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,-0.75,114,0,,-0.4089667761193023
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,-0.5,108,0,,-0.27761638233049174
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,0.0,93,0,,-0.09714507255813115
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,0.5,22,0,,-0.029004470859259945
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,0.75,56,0,,-0.019579359718076454
poisoned_always_freeze_snapshot,0.0,0.0,-0.15,1.0,83,0,,-0.05526099984633106
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,-1.0,115,0,,-0.43474650706774914
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,-0.75,109,0,,-0.2976366617016786
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,-0.5,103,0,,-0.19076514485397889
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,0.0,83,0,,-0.04777628610288465
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,0.5,41,0,,-0.011477908227665198
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,0.75,79,0,,-0.04152685790859659
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,1.0,92,0,,-0.09895583843183406
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,-1.0,110,0,,-0.3202916172703
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,-0.75,104,0,,-0.2084567977983909
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,-0.5,96,0,,-0.1225844265783481
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,0.0,64,0,,-0.015193583816603292
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,0.5,75,0,,-0.03005676123883619
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,0.75,90,0,,-0.08233636665886093
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,1.0,99,0,,-0.15722502030192512
poisoned_always_freeze_snapshot,0.0,0.0,0.05,-1.0,99,0,,-0.15722502030192512
poisoned_always_freeze_snapshot,0.0,0.0,0.05,-0.75,90,0,,-0.08233636665886093
poisoned_always_freeze_snapshot,0.0,0.0,0.05,-0.5,75,0,,-0.03005676123883619
poisoned_always_freeze_snapshot,0.0,0.0,0.05,0.0,64,0,,-0.015193583816603292
poisoned_always_freeze_snapshot,0.0,0.0,0.05,0.5,96,0,,-0.1225844265783481
poisoned_always_freeze_snapshot,0.0,0.0,0.05,0.75,104,0,,-0.2084567977983909
poisoned_always_freeze_snapshot,0.0,0.0,0.05,1.0,110,0,,-0.3202916172703
poisoned_always_freeze_snapshot,0.0,0.0,0.1,-1.0,92,0,,-0.09895583843183406
poisoned_always_freeze_snapshot,0.0,0.0,0.1,-0.75,79,0,,-0.04152685790859659
poisoned_always_freeze_snapshot,0.0,0.0,0.1,-0.5,41,0,,-0.011477908227665198
poisoned_always_freeze_snapshot,0.0,0.0,0.1,0.0,83,0,,-0.04777628610288465
poisoned_always_freeze_snapshot,0.0,0.0,0.1,0.5,103,0,,-0.19076514485397889
poisoned_always_freeze_snapshot,0.0,0.0,0.1,0.75,109,0,,-0.2976366617016786
poisoned_always_freeze_snapshot,0.0,0.0,0.1,1.0,115,0,,-0.43474650706774914
